id,sku,name,type,current_stock,unit,created_at
6675e413-2d57-4808-b6e3-8803ad107a4f,PROD-BW-DL50-BLK-GRN,Bubble Wrap Double Black 50cm (2 Rolls) (Green),product,0,roll,2025-12-24T00:10:07.741448+00:00
1de756d2-3194-43c7-ad38-af27b23d122c,PROD-BW-DL20-BLK-PNK,Bubble Wrap Double Black 20cm (5 Rolls) (Pink),product,0,roll,2025-12-24T00:13:42.340077+00:00
102afa15-3a73-4b7e-983f-573eb6a1cdce,PROD-BW-DL33-BLK-PNK,Bubble Wrap Double Black 33cm (3 Rolls) (Pink),product,0,roll,2025-12-24T00:14:36.078607+00:00
3de2236a-ffec-449b-8609-8f77cc0fd21f,RAW-LDPE-MAIN,LDPE Resin (Resin 主料),raw,3784,kg,2025-12-24T05:23:17.736411+00:00
5539107c-0551-4fe1-a564-2d6fbccdf9a2,PROD-BW-DL20-CLR-BLU,Bubble Wrap Double Clear 20cm (5 Rolls) (Blue),product,195,roll,2025-12-23T18:12:17.167342+00:00
f512b283-4544-4004-a6a1-de49df4e67c2,PROD-BW-DL100-BLK-PNK,Bubble Wrap Double Black 100cm (1 Roll) (Pink),product,0,roll,2025-12-25T13:25:47.011035+00:00
82a02282-dea3-47ad-80ef-47e1611be57f,PROD-BW-SL25-CLR-GRN,Bubble Wrap Single Clear 25cm (4 Rolls) (Green),product,4,roll,2025-12-23T23:58:13.481106+00:00
e4762a9b-5758-4ec0-8d79-40d87c804f3e,RAW-RESIN-MIX,LDPE/LLDPE Resin Mix,raw,4618.3,kg,2025-12-25T15:51:48.688288+00:00
b9b9b674-c282-40de-ae0e-6fe14702cedc,PROD-BW-DL100-CLR-YEL,Bubble Wrap Double Clear 100cm (1 Roll) (Yellow),product,36,roll,2025-12-23T21:55:24.98733+00:00
5e8c2c87-7364-43c4-a9b2-5f55e8401478,RAW-MB-BLACK,Black Masterbatch,raw,500,kg,2025-12-24T05:23:17.736411+00:00
722cee05-68f2-4133-b7c5-11ee6e903f75,RAW-MB-SILVER,Silver/Grey Masterbatch,raw,500,kg,2025-12-24T05:23:17.736411+00:00
58d914f9-03a0-41b7-ab8f-7ed501adf344,PROD-BW-SL100-CLR-PNK,Bubble Wrap Single Clear 100cm (1 Roll) (Pink),product,206,roll,2025-12-24T00:07:44.519007+00:00
